     157.3743     194.6110       0.9973
     158.3212     195.6640       0.9973
     159.2683     196.7170       0.9972
     160.2156     197.7697       0.9972
     161.1630     198.8223       0.9972
     162.1105     199.8747       0.9972
     163.0583     200.9270       0.9972
     164.0061     201.9792       0.9972
     164.9541     203.0312       0.9972
     165.9022     204.0831       0.9971
     166.8505     205.1348       0.9971
     167.7989     206.1864       0.9971
     168.7474     207.2379       0.9971
     169.6961     208.2892       0.9971
     170.6449     209.3404       0.9971
     171.5939     210.3914       0.9971
     172.5430     211.4424       0.9970
     173.4922     212.4931       0.9970
     174.4415     213.5437       0.9970
     175.3910     214.5943       0.9970
     176.3406     215.6447       0.9970
     177.2904     216.6949       0.9970
     178.2402     217.7451       0.9970
     179.1902     218.7951       0.9969
     180.1404     219.8449       0.9969
